Duration,Country,monthlycases
2022-01,United States of America,21878018
2021-01,United States of America,6972587
2020-12,United States of America,5627464
2020-11,United States of America,4692217
2022-02,United States of America,4577250
2021-08,United States of America,4291462
2022-07,United States of America,4262448
2021-09,United States of America,4056569
2021-12,United States of America,3902514
2021-10,United States of America,3054638
2022-05,United States of America,2924377
2022-06,United States of America,2798564
2022-08,United States of America,2744923
2021-02,United States of America,2467058
2021-11,United States of America,2336661
2023-01,United States of America,1914901
2022-09,United States of America,1805498
2020-08,United States of America,1780555
2021-04,United States of America,1779222
2022-12,United States of America,1718845
2020-07,United States of America,1668539
2021-03,United States of America,1602108
2020-10,United States of America,1469669
2022-10,United States of America,1391988
2021-05,United States of America,1193501
2020-09,United States of America,1126625
2022-11,United States of America,1125356
2023-02,United States of America,1085170
2022-03,United States of America,969050
2021-07,United States of America,965153
2022-04,United States of America,944316
2020-05,United States of America,862475
2020-04,United States of America,796638
2020-06,United States of America,739955
2023-03,United States of America,678002
2023-04,United States of America,568838
2021-06,United States of America,366941
2023-05,United States of America,170425
2020-03,United States of America,126269
2020-02,United States of America,33
2020-01,United States of America,7
2025-07,United States of America,
2025-06,United States of America,
2025-05,United States of America,
2025-04,United States of America,
2025-03,United States of America,
2025-02,United States of America,
2025-01,United States of America,
2024-12,United States of America,
2024-11,United States of America,
2024-10,United States of America,
2024-09,United States of America,
2024-08,United States of America,
2024-07,United States of America,
2024-06,United States of America,
2024-05,United States of America,
2024-04,United States of America,
2024-03,United States of America,
2024-02,United States of America,
2024-01,United States of America,
2023-12,United States of America,
2023-11,United States of America,
2023-10,United States of America,
2023-09,United States of America,
2023-08,United States of America,
2023-07,United States of America,
2023-06,United States of America,
